Alabama,5024279,crimson saltire on white field,Camellia,Yellowhammer/Northern Flicker,,Huntsville,Montgomery,Birmingham,Montgomery,52138 ,4.1
Alaska,733391,eight gold stars forming big dipper constellation and the north star Polaris on blue field,Alpine Forget Me Not,Willow Ptarmigan,,Anchorage,Juneau,Fairbanks,Juneau,67010 ,2.4
Arizona,7151502,copper star center emitting thirteen rays alternating red and yellow to top half on blue field,Saguaro Cactus Blossom,Cactus Wren,Blue and Gold,Phoenix,Tucson,Mesa,Phoenix,58462 ,6.2
Arkansas,3011524,"white losenge with blue text 'Arkansas', one blue star above and three below, inside blue lozenge with 25 white stars, on red field",Apple Blossom,Northern Mockingbird,,Little Rock,Fayetteville,Fort Smith,Little Rock,48882 ,3
California,39538223,"bear facing hoist on grass in center above brown text 'California Republic' with red star above and toward hoist and red horizontal strip on bottom, on white field",California Poppy,California Valley Quail,Blue and Gold,Los Angeles,San Diego,San Jose,Sacramento,65895 ,7.7
Colorado,5773714,"field is three horizontal stripes, blue, white, and blue, with center gold circle enveloped by red 'C'",Rocky Mountain Columbine,Lark Bunting,,Denver,Colorado Springs,Aurora,Denver,70952 ,8.3
Connecticut,3605944,"white baroque shield with three grapevines, with banner below reading 'Qui Transtulit Sustinet', on blue field",Mountain Laurel,American Robin,,Bridgeport,Stamford,New Haven,Hartford,72497 ,5.4
Delaware,989948,"buff lozenge with Delaware coat of arms on colonial blue bakground, above white text 'December 7, 1787'",Peach Blossom,Blue Hen Chicken,Colonial Blue and Buff,Wilmington,Dover,Newark,Dover,65072 ,5.2
Florida,21538187,red saltire on white field with state seal center,Orange Blossom,Mockingbird,,Jacksonville,Miami,Tampa,Tallahassee,55681 ,4.9
Georgia,10711908,"field is three horizontal stripes, red, white, red, with blue canton containing gold state coat of arms encircled by thirteen white stars",Cherokee Rose,Brown Thrasher,,Atlanta,Columbus,Augusta,Atlanta,55600 ,6
Hawaii,1455271,"field is eight horizontal stripes alternating white, red, and blue, with union jack as canton",Pua Aloalo,Nene/Hawaiian Goose,,Honolulu,East Honolulu,Pearl City,Honolulu,75797 ,3.1
Idaho,1839106,state seal in center above red ribbon reading 'State of Idaho' on blue field,Syringa,Mountain Bluebird,,Boise,Meridian,Nampa,Boise,54942 ,4.5
Illinois,12812508,state seal in center above black text 'Illinois' on white field,Violet,Cardinal,,Chicago,Aurora,Naperville,Springfield,61456 ,5.3
Indiana,6785528,"gold torch center radiating seven gold lines, surrounded by five gold stars in semicircle below and one large gold star and gold text 'Indiana' above, all surrounded by thirteen gold stars, on blue background",Peony,Cardinal,,Indianapolis,Fort Wayne,Evansville,Indianapolis,54785 ,3.7
